Scenario,Concept_Score,Completion_Rate,Study_Time,Retention,Engagement,Teacher_Time,Feedback_Speed
Without_AI,62,68,50,58,2.5,6,48
Without_AI,64,70,48,60,2.7,5.8,50
Without_AI,63,69,49,59,2.6,6.2,47
Without_AI,61,67,52,57,2.4,6.5,52
Without_AI,65,71,47,61,2.8,5.9,49
Without_AI,62,68,50,58,2.5,6.1,48
Without_AI,64,70,48,60,2.7,6.0,50
Without_AI,63,69,49,59,2.6,6.3,47
Without_AI,61,67,52,57,2.4,6.4,52
Without_AI,65,71,47,61,2.8,5.7,49

With_AI,80,90,30,75,4.2,2.0,5
With_AI,82,92,28,78,4.3,1.8,4
With_AI,81,91,29,76,4.1,2.1,6
With_AI,83,93,27,79,4.4,1.7,4
With_AI,79,89,31,74,4.0,2.2,5
With_AI,81,91,29,76,4.2,2.0,5
With_AI,82,92,28,78,4.3,1.9,4
With_AI,80,90,30,75,4.1,2.1,6
With_AI,83,93,27,79,4.4,1.8,4
With_AI,79,89,31,74,4.0,2.2,5