Tool,Response_Time,Accuracy,Task_Completion,Engagement,Usability
ChatGPT,3.2,95,94,5,5
ChatGPT,3.1,96,95,5,5
ChatGPT,3.4,94,93,5,5
ChatGPT,3.0,97,96,5,5
ChatGPT,3.3,95,94,5,5
ChatGPT,3.5,93,92,4,5
ChatGPT,3.2,96,95,5,5
ChatGPT,3.1,95,94,5,5
ChatGPT,3.3,94,93,5,5
ChatGPT,3.2,96,95,5,5
ChatGPT,3.6,92,91,4,5
ChatGPT,3.0,97,96,5,5
ChatGPT,3.4,95,94,5,5
ChatGPT,3.3,96,95,5,5
ChatGPT,3.1,95,94,5,5
ChatGPT,3.2,96,95,5,5
ChatGPT,3.5,93,92,4,5
ChatGPT,3.3,94,93,5,5
ChatGPT,3.2,95,94,5,5
ChatGPT,3.1,96,95,5,5

ITS,5.6,88,88,3,3
ITS,5.7,87,87,3,3
ITS,5.5,89,88,3,3
ITS,5.8,86,86,3,3
ITS,5.6,88,87,3,3
ITS,5.9,85,85,3,3
ITS,5.4,90,89,3,3
ITS,5.7,87,86,3,3
ITS,5.6,88,88,3,3
ITS,5.5,89,88,3,3
ITS,6.0,84,84,3,3
ITS,5.3,91,90,3,3
ITS,5.8,86,86,3,3
ITS,5.6,88,87,3,3
ITS,5.7,87,87,3,3
ITS,5.5,89,88,3,3
ITS,5.6,88,88,3,3
ITS,5.4,90,89,3,3
ITS,5.7,87,86,3,3
ITS,5.6,88,88,3,3

AI_Platform,6.9,85,85,4,4
AI_Platform,7.0,84,84,4,4
AI_Platform,6.8,86,85,4,4
AI_Platform,7.1,83,83,4,4
AI_Platform,6.9,85,84,4,4
AI_Platform,7.2,82,82,4,4
AI_Platform,6.7,87,86,4,4
AI_Platform,7.0,84,84,4,4
AI_Platform,6.8,85,85,4,4
AI_Platform,6.9,86,85,4,4
AI_Platform,7.3,81,81,4,4
AI_Platform,6.6,88,87,4,4
AI_Platform,7.1,83,83,4,4
AI_Platform,6.9,85,84,4,4
AI_Platform,7.0,84,84,4,4
AI_Platform,6.8,86,85,4,4
AI_Platform,7.2,82,82,4,4
AI_Platform,6.7,87,86,4,4
AI_Platform,7.0,84,84,4,4
AI_Platform,6.9,85,85,4,4